"filename", "language", "XML", "C#", "comment", "blank", "total"
"c:\Users\x230\Desktop\thsearch\thsearch\ConfigFileParser.cs", "C#", 0, 8, 1, 2, 11
"c:\Users\x230\Desktop\thsearch\thsearch\FileConsumer.cs", "C#", 0, 24, -1, 9, 32
"c:\Users\x230\Desktop\thsearch\thsearch\Models\FileIndexEntry.cs", "C#", 0, 15, 0, 1, 16
"c:\Users\x230\Desktop\thsearch\thsearch\Models\IIndex.cs", "C#", 0, 11, 5, 8, 24
"c:\Users\x230\Desktop\thsearch\thsearch\Models\Index.cs", "C#", 0, -80, -29, -22, -131
"c:\Users\x230\Desktop\thsearch\thsearch\Models\IndexSqlite.cs", "C#", 0, 199, 17, 83, 299
"c:\Users\x230\Desktop\thsearch\thsearch\Models\RecordInfo.cs", "C#", 0, 6, 0, 2, 8
"c:\Users\x230\Desktop\thsearch\thsearch\Program.cs", "C#", 0, 49, 3, 22, 74
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\EpubExtractor.cs", "C#", 0, 0, 0, 1, 1
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\MhtmlExtractor.cs", "C#", 0, 11, 2, 8, 21
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\PdfExtractor.cs", "C#", 0, 0, 0, 1, 1
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\StringExtractor.cs", "C#", 0, 0, 0, 1, 1
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\ConsoleUI.cs", "C#", 0, 15, 1, 3, 19
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\ITokenizer.cs", "C#", 0, 5, 0, 4, 9
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\Searcher.cs", "C#", 0, 1, 1, 4, 6
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\SpanCharEqualityComparer.cs", "C#", 0, 20, 0, 5, 25
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\Tokenizer.cs", "C#", 0, 48, 4, 21, 73
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\TokenizerAndStemmer.cs", "C#", 0, -43, -2, -19, -64
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\TokenizerAndStemmerSpans.cs", "C#", 0, 76, 6, 31, 113
"c:\Users\x230\Desktop\thsearch\thsearch\thsearch.csproj", "XML", 8, 0, 0, 0, 8
"Total", "-", 8, 365, 8, 165, 546